LAMMPS data file via write_data, version 23 Jun 2022, timestep = 71

432 atoms
3 atom types

-0.022217697981249094 15.35221769798123 xlo xhi
-0.03848218173074055 26.590821061761623 ylo yhi
-0.01297073806181396 12.583570738061807 zlo zhi

Masses

1 58.6934
2 26.9815
3 101.0699

Atoms # atomic

422 1 12.78981179865415 14.706893291092847 9.434435369030908 0 0 0
423 1 11.46644910016041 18.42974857280287 11.533858948384845 0 0 0
424 1 14.113174497147886 18.42974857280287 11.533858948384845 0 0 0
426 1 14.028854999487493 13.991531365554138 11.533858948384845 0 0 0
427 3 12.78981179865415 25.111415326012047 11.533858948384845 0 0 0
432 1 14.028854999487493 22.867965780051602 11.533858948384845 0 0 0
431 1 14.028854999487493 21.437241928974185 9.434435369030908 0 0 0
366 1 7.664999999999992 20.721880003435473 7.3350117896769715 0 0 0
371 3 7.66499999999999 25.111415326012047 7.3350117896769715 0 0 0
375 3 10.227405899327074 20.67319811876331 7.335011789676972 0 0 0
379 1 8.90404320083333 22.867965780051602 7.335011789676972 0 0 0
380 1 11.550768597820813 22.867965780051602 7.335011789676972 0 0 0
381 1 10.22740589932707 25.16009721068421 7.335011789676972 0 0 0
389 1 12.789811798654153 20.721880003435473 7.3350117896769715 0 0 0
391 3 12.789811798654153 25.111415326012047 7.335011789676972 0 0 0
396 1 14.028854999487493 22.867965780051602 7.3350117896769715 0 0 0
430 1 12.78981179865415 23.583327705590307 9.434435369030908 0 0 0
429 1 11.46644910016041 25.875459136222915 9.434435369030908 0 0 0
408 1 8.988362698493733 25.875459136222922 9.434435369030908 0 0 0
428 1 14.11317449714789 25.875459136222915 9.434435369030908 0 0 0
410 3 10.227405899327067 23.632009590262477 9.434435369030908 0 0 0
411 3 10.227405899327074 20.67319811876331 11.533858948384845 0 0 0
412 1 11.550768597820811 21.437241928974185 9.434435369030908 0 0 0
413 1 8.904043200833334 21.43724192897418 9.434435369030908 0 0 0
415 1 8.90404320083333 22.867965780051602 11.533858948384843 0 0 0
416 1 11.550768597820811 22.867965780051602 11.533858948384845 0 0 0
417 1 10.227405899327069 25.16009721068421 11.533858948384845 0 0 0
425 1 12.789811798654153 20.721880003435476 11.533858948384845 0 0 0
111 1 15.352217697981228 16.28366279618675 3.1361646309690925 -1 0 0
409 1 7.66499999999999 23.583327705590307 9.434435369030908 0 0 0
407 3 7.66499999999999 25.111415326012036 11.533858948384845 0 0 0
402 1 7.664999999999992 20.721880003435473 11.533858948384845 0 0 0
151 1 15.352217697981228 19.145110498341584 5.235588210323032 -1 0 0
325 3 7.66499999999999 19.19379238301375 1.0367410516151567 0 0 0
113 3 15.352217697981228 20.67319811876331 3.1361646309690934 -1 0 0
147 1 15.352217697981228 16.28366279618675 7.335011789676969 -1 0 0
181 3 15.352217697981226 14.75557517576501 9.434435369030908 -1 0 0
183 1 15.352217697981226 16.28366279618675 11.533858948384845 -1 0 0
189 1 15.352217697981228 25.16009721068421 11.533858948384845 -1 0 0

Velocities

3 0 0 0
89 0 0 0
5 0 0 0
7 0 0 0
8 0 0 0
9 0 0 0
10 0 0 0
18 0 0 0
22 0 0 0
23 0 0 0
24 0 0 0
25 0 0 0
26 0 0 0
27 0 0 0
28 0 0 0
30 0 0 0
39 0 0 0
43 0 0 0
54 0 0 0
58 0 0 0
60 0 0 0
61 0 0 0
62 0 0 0
88 0 0 0
87 0 0 0
86 0 0 0
84 0 0 0
91 0 0 0
92 0 0 0
12 0 0 0
14 0 0 0
15 0 0 0
16 0 0 0
17 0 0 0
19 0 0 0
20 0 0 0
21 0 0 0
29 0 0 0
31 0 0 0
32 0 0 0
33 0 0 0
34 0 0 0
35 0 0 0
36 0 0 0
48 0 0 0
72 0 0 0
50 0 0 0
52 0 0 0
53 0 0 0
68 0 0 0
69 0 0 0
70 0 0 0
71 0 0 0
220 0 0 0
67 0 0 0
65 0 0 0
41 0 0 0
44 0 0 0
45 0 0 0
46 0 0 0
59 0 0 0
63 0 0 0
64 0 0 0
66 0 0 0
57 0 0 0
75 0 0 0
77 0 0 0
79 0 0 0
80 0 0 0
81 0 0 0
82 0 0 0
90 0 0 0
94 0 0 0
95 0 0 0
96 0 0 0
97 0 0 0
98 0 0 0
99 0 0 0
100 0 0 0
102 0 0 0
56 0 0 0
55 0 0 0
51 0 0 0
93 0 0 0
108 0 0 0
107 0 0 0
106 0 0 0
105 0 0 0
104 0 0 0
103 0 0 0
101 0 0 0
110 0 0 0
207 0 0 0
118 0 0 0
119 0 0 0
120 0 0 0
121 0 0 0
122 0 0 0
123 0 0 0
124 0 0 0
126 0 0 0
127 0 0 0
128 0 0 0
129 0 0 0
138 0 0 0
142 0 0 0
143 0 0 0
206 0 0 0
154 0 0 0
156 0 0 0
157 0 0 0
158 0 0 0
162 0 0 0
174 0 0 0
178 0 0 0
205 0 0 0
361 0 0 0
204 0 0 0
114 0 0 0
116 0 0 0
125 0 0 0
130 0 0 0
131 0 0 0
132 0 0 0
133 0 0 0
134 0 0 0
135 0 0 0
136 0 0 0
137 0 0 0
139 0 0 0
140 0 0 0
141 0 0 0
144 0 0 0
148 0 0 0
150 0 0 0
167 0 0 0
168 0 0 0
169 0 0 0
170 0 0 0
172 0 0 0
173 0 0 0
180 0 0 0
146 0 0 0
203 0 0 0
155 0 0 0
159 0 0 0
160 0 0 0
163 0 0 0
164 0 0 0
165 0 0 0
179 0 0 0
202 0 0 0
182 0 0 0
197 0 0 0
190 0 0 0
191 0 0 0
192 0 0 0
193 0 0 0
194 0 0 0
195 0 0 0
196 0 0 0
198 0 0 0
199 0 0 0
200 0 0 0
201 0 0 0
210 0 0 0
214 0 0 0
215 0 0 0
216 0 0 0
213 0 0 0
212 0 0 0
211 0 0 0
209 0 0 0
208 0 0 0
149 0 0 0
152 0 0 0
153 0 0 0
161 0 0 0
166 0 0 0
171 0 0 0
175 0 0 0
176 0 0 0
177 0 0 0
184 0 0 0
185 0 0 0
186 0 0 0
188 0 0 0
187 0 0 0
218 0 0 0
226 0 0 0
227 0 0 0
228 0 0 0
229 0 0 0
230 0 0 0
231 0 0 0
232 0 0 0
234 0 0 0
235 0 0 0
236 0 0 0
237 0 0 0
246 0 0 0
250 0 0 0
251 0 0 0
253 0 0 0
262 0 0 0
264 0 0 0
265 0 0 0
266 0 0 0
270 0 0 0
282 0 0 0
286 0 0 0
1 0 0 0
2 0 0 0
37 0 0 0
40 0 0 0
222 0 0 0
224 0 0 0
225 0 0 0
233 0 0 0
238 0 0 0
239 0 0 0
240 0 0 0
241 0 0 0
242 0 0 0
243 0 0 0
244 0 0 0
245 0 0 0
247 0 0 0
248 0 0 0
249 0 0 0
252 0 0 0
256 0 0 0
258 0 0 0
275 0 0 0
276 0 0 0
277 0 0 0
278 0 0 0
280 0 0 0
281 0 0 0
288 0 0 0
13 0 0 0
254 0 0 0
263 0 0 0
267 0 0 0
268 0 0 0
271 0 0 0
272 0 0 0
273 0 0 0
287 0 0 0
290 0 0 0
298 0 0 0
299 0 0 0
300 0 0 0
301 0 0 0
302 0 0 0
303 0 0 0
304 0 0 0
306 0 0 0
307 0 0 0
308 0 0 0
309 0 0 0
318 0 0 0
322 0 0 0
323 0 0 0
73 0 0 0
76 0 0 0
324 0 0 0
321 0 0 0
320 0 0 0
319 0 0 0
317 0 0 0
316 0 0 0
315 0 0 0
314 0 0 0
313 0 0 0
312 0 0 0
311 0 0 0
260 0 0 0
261 0 0 0
269 0 0 0
274 0 0 0
279 0 0 0
283 0 0 0
284 0 0 0
285 0 0 0
310 0 0 0
293 0 0 0
294 0 0 0
296 0 0 0
297 0 0 0
305 0 0 0
47 0 0 0
78 0 0 0
83 0 0 0
4 0 0 0
292 0 0 0
257 0 0 0
217 0 0 0
219 0 0 0
223 0 0 0
259 0 0 0
85 0 0 0
6 0 0 0
11 0 0 0
49 0 0 0
221 0 0 0
38 0 0 0
74 0 0 0
255 0 0 0
289 0 0 0
291 0 0 0
295 0 0 0
42 0 0 0
326 0 0 0
327 0 0 0
328 0 0 0
329 0 0 0
331 0 0 0
332 0 0 0
333 0 0 0
334 0 0 0
342 0 0 0
346 0 0 0
347 0 0 0
348 0 0 0
349 0 0 0
350 0 0 0
351 0 0 0
352 0 0 0
354 0 0 0
363 0 0 0
364 0 0 0
367 0 0 0
378 0 0 0
382 0 0 0
384 0 0 0
385 0 0 0
386 0 0 0
109 0 0 0
115 0 0 0
145 0 0 0
330 0 0 0
335 0 0 0
336 0 0 0
337 0 0 0
338 0 0 0
339 0 0 0
340 0 0 0
341 0 0 0
343 0 0 0
344 0 0 0
345 0 0 0
353 0 0 0
355 0 0 0
356 0 0 0
357 0 0 0
358 0 0 0
359 0 0 0
360 0 0 0
372 0 0 0
373 0 0 0
374 0 0 0
376 0 0 0
377 0 0 0
392 0 0 0
393 0 0 0
394 0 0 0
395 0 0 0
112 0 0 0
117 0 0 0
362 0 0 0
365 0 0 0
368 0 0 0
369 0 0 0
370 0 0 0
383 0 0 0
387 0 0 0
388 0 0 0
390 0 0 0
397 0 0 0
398 0 0 0
399 0 0 0
400 0 0 0
401 0 0 0
403 0 0 0
404 0 0 0
405 0 0 0
406 0 0 0
414 0 0 0
418 0 0 0
419 0 0 0
420 0 0 0
421 0 0 0
422 0 0 0
423 0 0 0
424 0 0 0
426 0 0 0
427 0 0 0
432 0 0 0
431 0 0 0
366 0 0 0
371 0 0 0
375 0 0 0
379 0 0 0
380 0 0 0
381 0 0 0
389 0 0 0
391 0 0 0
396 0 0 0
430 0 0 0
429 0 0 0
408 0 0 0
428 0 0 0
410 0 0 0
411 0 0 0
412 0 0 0
413 0 0 0
415 0 0 0
416 0 0 0
417 0 0 0
425 0 0 0
111 0 0 0
409 0 0 0
407 0 0 0
402 0 0 0
151 0 0 0
325 0 0 0
113 0 0 0
147 0 0 0
181 0 0 0
183 0 0 0
189 0 0 0
